County,FIPS,Population,Total,TotalVotersPerCapita,Week Ending,Democrats,Republicans,Libertarians,Green,NoLabels,Constitution,JusticeForAll,WeThePeople,Unaffiliated,White,Black,AmericanIndian,NativeHawaiian,Asian,Multiracial,Undesignated,Other,Hispanic,Male,Female,UnDisclosedGender
HALIFAX,083,47298,35780,0.7564801894371855,01/13/2024,20392,4866,100,2,37,0,0,0,10383,13700,18378,1040,5,173,137,1939,408,315,15289,18606,1885
HARNETT,085,141477,86220,0.609427680824445,01/13/2024,24064,30890,801,30,105,0,0,0,30330,53335,17616,472,17,657,512,9028,4583,5436,35952,42124,8144
HAYWOOD,087,62969,46120,0.7324238911210278,01/13/2024,12083,16237,314,13,21,0,0,0,17452,42551,474,115,0,155,97,2194,534,620,20801,23627,1692
HENDERSON,089,119230,89425,0.7500209678772121,01/13/2024,17240,32103,625,27,68,0,0,0,39362,77623,2387,145,10,532,393,5922,2413,2938,38397,45583,5445
HERTFORD,091,19453,13791,0.7089394951935434,01/13/2024,8820,1556,38,1,8,0,0,0,3368,4468,8296,93,2,41,57,691,143,99,5703,7443,645
HOKE,093,54446,33568,0.616537486684054,01/13/2024,13809,7428,313,15,19,0,0,0,11984,13191,12670,1967,16,345,255,2783,2341,2446,14558,17375,1635
HYDE,095,4607,3178,0.6898198393748644,01/13/2024,1366,681,16,0,0,0,0,0,1115,2381,570,0,0,1,8,174,44,66,1411,1603,164
IREDELL,097,199710,138921,0.6956136397776777,01/13/2024,27457,57165,906,28,101,0,0,0,53264,108094,14882,224,5,1511,451,9543,4211,4911,61308,67976,9637
JACKSON,099,44574,29725,0.6668685780948534,01/13/2024,8463,8439,255,15,9,0,0,0,12544,24371,621,1547,6,241,185,2131,623,750,12949,14564,2212
JOHNSTON,101,241955,155593,0.6430658593540121,01/13/2024,40110,57567,1231,49,260,0,0,0,56376,104616,25923,431,17,943,647,16265,6751,8865,67407,77583,10603
JONES,103,9401,7155,0.7610892458249122,01/13/2024,2496,2322,35,0,8,0,0,0,2294,4432,2042,12,1,19,23,531,95,105,3077,3538,540
LEE,105,67059,39568,0.5900475700502542,01/13/2024,12477,12002,285,8,33,0,0,0,14763,25392,7340,140,6,254,272,3756,2408,3457,16605,19833,3130
LENOIR,107,54895,38114,0.6943073139630203,01/13/2024,16479,10513,149,12,62,0,0,0,10899,18921,14724,64,7,102,125,3344,827,881,15421,19325,3368
LINCOLN,109,95675,67750,0.7081264698197021,01/13/2024,11804,32063,430,15,55,0,0,0,23383,57071,3650,87,2,323,152,4807,1658,2141,30129,32711,4910
MACON,113,38412,28331,0.7375559720920546,01/13/2024,4980,12481,192,3,4,0,0,0,10671,25947,201,64,0,117,63,1425,514,573,13108,14742,481
MADISON,115,22071,17073,0.7735490009514748,01/13/2024,4977,4828,121,10,16,0,0,0,7121,15361,128,27,0,47,45,1263,202,193,7518,8102,1453
MARTIN,117,21447,16020,0.7469576164498531,01/13/2024,7647,3514,53,2,2,0,0,0,4802,8576,6287,28,0,25,53,847,204,194,6708,8478,834
MCDOWELL,111,44893,29948,0.6670973202949235,01/13/2024,5604,13103,183,6,25,0,0,0,11027,27109,828,36,1,137,127,1135,575,638,13590,15038,1320
MECKLENBURG,119,1163701,787254,0.6765088282986781,01/13/2024,323599,155790,5969,253,785,0,0,0,300858,404370,239964,2056,61,22592,5133,71186,41892,45350,330718,397235,59301
MITCHELL,121,14999,11214,0.7476498433228882,01/13/2024,1049,6481,44,3,6,0,0,0,3631,10084,40,12,1,14,14,958,91,145,4969,5462,783
MONTGOMERY,123,26085,17062,0.654092390262603,01/13/2024,5078,6287,86,2,11,0,0,0,5598,11935,2966,46,0,184,44,1265,622,827,7512,8467,1083
MOORE,125,106898,75405,0.7053920559785964,01/13/2024,15088,31114,631,14,38,0,0,0,28520,60605,7464,351,6,634,230,3937,2178,1827,33111,38878,3416
